date,loans,deposits,deposit_movement,loan_growth_mom_pct,gca,ead,provisions,stage_1_share_pct,stage_2_share_pct,stage_3_share_pct,rwa,cet1_capital,at1_capital,tier2_capital,hqla,net_cash_outflows,ecb_rate_pct,avg_loan_yield_pct,avg_deposit_cost_pct,nii,fee_income,operating_income,operating_costs,pre_tax_profit,total_assets,total_liabilities
2022-09-30,300835.7433880008,333728.89739842335,-1271.1026015766547,0.2785811293336209,300835.7433880008,324902.6028590409,4817.00696864101,90.02163285184248,7.449802713692666,2.5285644344648506,172471.23424197343,31291.03932375755,5500,4000,79372.73798863143,50874.17442347164,3.5280623733258496,4.52253221967142,1.9526663545952931,590.7317939957926,87.7437584881669,858.512834108128,1060.6879465102363,-298.5152517749283,530208.4813766322,483728.89739842335
2022-10-31,302858.89591623034,335096.29626532836,1367.398866905016,0.6725106882064269,302858.89591623034,327087.6075895288,4817.921196206366,89.93614072282675,7.561470061483792,2.5023892156894574,173526.08815713774,31139.005595962,5500,4000,79336.26780168028,49241.9897076437,3.5697109528772497,4.559354334205294,2.1029284813382616,563.4645619508095,88.33384464223384,854.4973120584464,1070.774124201022,-217.1910397079323,532195.1637179106,485096.29626532836
2022-11-30,304116.9366059775,333614.25469509396,-1482.0415702344035,0.4153883893491818,304116.9366059775,328446.29153445567,4919.049105374901,89.73738534806334,7.711379188302647,2.551235463634017,174411.3709235458,30893.099449644633,5500,4000,79862.19193787588,52183.658181220126,3.6353160124167916,4.601952757261172,2.2406312794391607,543.3543671725739,88.70077317674344,825.9062579833678,1076.0728435539277,-351.2944947390945,533979.1285438533,483614.25469509396
2022-12-31,304669.6450461297,334935.86161900667,1321.60692391271,0.18174207800478015,304669.6450461297,329043.2166498201,4942.356895357527,89.54581152428248,7.901170319461786,2.5530181562557335,174878.00362866427,30671.721989682606,5500,4000,80206.38262086103,51627.42241645727,3.616216785281696,4.632191177799087,2.369626769257863,514.6792152075133,88.86197980512117,780.4520380352308,1073.3977622840728,-316.25351423146776,534876.0276669908,484935.86161900667
2023-01-31,304880.7989571525,335122.9062655738,187.04464656714117,0.06930585782212186,304880.7989571525,329271.26287372474,4840.11132657787,89.5655074748864,7.9554013645943344,2.479091160519266,174866.43990934925,30445.997781970746,5500,4000,80022.61918155893,50844.9502185753,3.5889622085717017,4.556916271107355,2.441102031968042,476.03922172677574,88.92356636250283,749.7632324559942,1072.2263863300814,-322.4631538740872,534903.4181387115,485122.9062655738
2023-02-28,303678.7469753842,335329.9704707712,207.06420519738458,-0.39426949348072055,303678.7469753842,327973.0467334149,4798.606839285203,89.43917743797223,8.103198100739299,2.4576244612884715,174363.81341225337,30196.68463190355,5500,4000,80043.60457772636,51550.4198152463,3.572516946052624,4.605978207857505,2.517934977609203,461.99885755756407,88.5729678678204,722.7706659427363,1078.932308895873,-356.1616429531366,533722.3515531105,485329.9704707712
2023-03-31,305115.5967420177,335438.36439494253,108.39392417133786,0.47314795024164696,305115.5967420177,329524.84448137914,4795.410483999925,89.40470599228075,8.157497389913084,2.4377966178061605,175087.930718003,29914.773547373166,5500,4000,80907.07816903373,50262.75515301291,3.6250903695959757,4.652055231259606,2.5908801775327754,458.6116657231063,88.99204904975517,689.921601587633,1092.6517223453225,-402.7301207576895,536022.6749110515,485438.36439494253
2023-04-30,304863.06906313973,335494.3844750846,56.0200801420724,-0.08276459203478306,304863.06906313973,329252.1145881909,4781.239049515015,89.35722836383601,8.214276529871864,2.4284951062921114,174996.70192195382,29650.08684342122,5500,4000,80473.26446643393,50371.56181855663,3.638139515636734,4.685173612639896,2.6584281516760253,447.0405751877096,88.91839514341575,725.9504662165257,1104.0743290050207,-378.123862788495,535336.3335295736,485494.3844750846
2023-05-31,305995.2973134088,336663.8273173551,1169.4428422704805,0.3713891137252167,305995.2973134088,330474.9210984815,4865.712398365144,89.33753998509304,8.187780150291042,2.4746798646159016,175641.77228980022,29305.88728118072,5500,4000,81291.40139131302,52145.527920662746,3.6531636662878815,4.679228273132786,2.704769695754938,434.3531073747664,89.24862838307757,687.1992300130969,1094.4395415065405,-491.7136603435724,537286.6987047219,486663.8273173551
2023-06-30,307502.1477818754,339199.3598353708,2535.532518015709,0.4924423615972293,307502.1477818754,332102.31960442546,4920.879360410709,89.20668587443326,8.302469067672062,2.4908450578946835,176545.28989182666,28968.2939976331,5500,4000,81357.80857027102,51659.469224693355,3.679318977206014,4.660835925155502,2.7236435557433394,424.46575576363944,89.68812643638033,671.3430792719505,1098.4522365801276,-482.27611935374216,538859.9563521463,489199.3598353708
